time,seconds_elapsed,z,y,x
1721411575902510000,0.079510009765625,-1.1546430587768555,0.09529781341552734,0.33012568950653076
1721411575915380200,0.092380126953125,-0.4719657897949219,0.34456026554107666,0.1603773832321167
1721411575928226600,0.1052265625,0.10997962951660156,0.031699538230895996,0.3973936438560486
1721411575941097000,0.118096923828125,0.4233083724975586,-0.06188809871673584,0.3767145276069641
1721411575953952500,0.130952392578125,0.47826385498046875,-0.12295997142791748,0.3566516935825348
1721411575966813700,0.143813720703125,0.3048744201660156,-0.10927271842956543,0.2570016384124756
1721411575979669500,0.15666943359375,0.16409873962402344,-0.05865895748138428,0.3087734580039978
1721411575992528000,0.16952783203125,0.1667642593383789,-0.01988852024078369,0.4077525734901428
1721411576005386000,0.182385986328125,0.1174173355102539,0.06761622428894043,0.400283545255661
1721411576018231600,0.1952314453125,0.1312103271484375,0.0005288124084472656,0.33916008472442627
1721411576031106600,0.2081064453125,0.09857749938964844,-0.13485586643218994,0.24793925881385803
1721411576043959800,0.220959716796875,0.10854053497314453,-0.12619030475616455,0.1913979947566986
1721411576056821000,0.233821044921875,0.03699684143066406,-0.06437671184539795,0.16886481642723083
1721411576069678000,0.246677978515625,0.095611572265625,-0.05697000026702881,0.27941015362739563
1721411576082550800,0.25955078125,0.10544967651367188,0.07387983798980713,0.367328941822052
1721411576095405000,0.272405029296875,0.03616046905517578,0.19917452335357666,0.37008899450302124
1721411576108250600,0.285250732421875,-0.003482818603515625,0.23817384243011475,0.30878350138664246
1721411576121102000,0.29810205078125,-0.03396320343017578,0.205643892288208,0.2198607325553894
1721411576133972000,0.310971923828125,-0.16461849212646484,0.10774946212768555,0.1404387354850769
1721411576146827800,0.323827880859375,-0.36328792572021484,0.09443533420562744,0.04811668395996094
1721411576159678500,0.336678466796875,-0.4392509460449219,0.1079859733581543,-0.059046387672424316
1721411576172537900,0.349537841796875,-0.4536123275756836,0.09486198425292969,-0.16214722394943237
1721411576185408000,0.362407958984375,-0.31492137908935547,0.03168976306915283,-0.2008131444454193
1721411576198252500,0.37525244140625,-0.11977100372314453,-0.07950246334075928,-0.22623193264007568
1721411576211140000,0.38814013671875,0.13748455047607422,-0.16771471500396729,-0.19481268525123596
1721411576223989800,0.40098974609375,0.28946876525878906,-0.1511439085006714,-0.08418488502502441
1721411576236839200,0.413839111328125,0.32635498046875,-0.020231246948242188,-0.04863041639328003
1721411576249709000,0.426708984375,0.3935413360595703,0.046723008155822754,-0.052996039390563965
1721411576262569500,0.439569580078125,0.4477252960205078,-0.04908788204193115,0.03183126449584961
1721411576275424000,0.452424072265625,0.4105815887451172,0.019226908683776855,-0.011668175458908081
1721411576288272400,0.4652724609375,0.28943824768066406,0.000725865364074707,-0.03863456845283508
1721411576301147400,0.4781474609375,0.20734786987304688,-0.06462597846984863,-0.08487659692764282
1721411576313998300,0.490998291015625,0.0873556137084961,-0.06598377227783203,-0.06996065378189087
1721411576326873000,0.503873046875,-0.005784034729003906,0.08597564697265625,-0.024084478616714478
1721411576339714800,0.51671484375,-0.1039724349975586,0.2530343532562256,0.006354391574859619
1721411576352562000,0.52956201171875,-0.10953235626220703,0.1537778377532959,0.09799626469612122
1721411576365439200,0.542439208984375,-0.17228984832763672,0.12981963157653809,0.21929478645324707
1721411576378281200,0.55528125,-0.2216196060180664,0.18650901317596436,0.3239888846874237
1721411576391128800,0.56812890625,-0.3364076614379883,0.1705484390258789,0.36385414004325867
1721411576403998200,0.580998291015625,-0.5031490325927734,0.12148678302764893,0.27176496386528015
1721411576416845800,0.593845703125,-0.6083202362060547,-0.03817331790924072,0.1745353639125824
1721411576429717500,0.606717529296875,-0.547938346862793,-0.13805437088012695,0.12343251705169678
1721411576442566000,0.61956591796875,-0.5559186935424805,-0.2032334804534912,0.023465633392333984
1721411576455429600,0.6324296875,-0.5505294799804688,-0.2697875499725342,0.025088846683502197
1721411576468281900,0.64528173828125,-0.4709043502807617,-0.18515729904174805,0.020367801189422607
1721411576481150500,0.658150390625,-0.47655582427978516,-0.19035828113555908,0.005213499069213867
1721411576494019800,0.671019775390625,-0.41559886932373047,-0.19852304458618164,0.013062536716461182
1721411576506862600,0.683862548828125,-0.34555625915527344,-0.19006502628326416,-0.03925663232803345
1721411576519723000,0.696722900390625,-0.18982219696044922,-0.2451179027557373,-0.07434475421905518
1721411576532581400,0.709581298828125,-0.1293649673461914,-0.15378355979919434,-0.12319982051849365
1721411576545441800,0.72244189453125,-0.17476463317871094,-0.0012587308883666992,-0.16566061973571777
1721411576558298600,0.735298583984375,-0.22407054901123047,0.04718303680419922,-0.144278883934021
1721411576571157200,0.7481572265625,-0.2401266098022461,0.0531618595123291,-0.04604610800743103
1721411576584013300,0.761013427734375,-0.06619453430175781,0.14039075374603271,0.08056235313415527
1721411576596873200,0.773873291015625,0.11723899841308594,0.19483613967895508,0.20053640007972717
1721411576609733400,0.7867333984375,0.24981689453125,0.1420762538909912,0.21013814210891724
1721411576622604000,0.79960400390625,0.37030601501464844,-0.052536845207214355,0.1417022943496704
1721411576635460000,0.812460205078125,0.1863384246826172,-0.23398911952972412,0.06883195042610168
1721411576648305700,0.8253056640625,0.0016078948974609375,-0.1583646535873413,0.009592562913894653
1721411576661177600,0.838177490234375,-0.1935586929321289,-0.10188651084899902,0.05199459195137024
1721411576674036200,0.8510361328125,-0.24535751342773438,-0.06469762325286865,0.1682838499546051
1721411576686896400,0.863896484375,-0.14071083068847656,0.01636660099029541,0.1845179796218872
1721411576699779000,0.876779052734375,-0.08685588836669922,-0.16265273094177246,0.2364863157272339
