time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1721411575906795000,0.083794921875,-0.9225934743881226,-0.08019861578941345,0.03498203679919243,0.37572017312049866,0.004350503906607628,-0.17516270279884338,2.368504285812378
1721411575923950300,0.100950439453125,-0.92281174659729,-0.0804106742143631,0.03261152654886246,0.3753519654273987,-0.00017869978910312057,-0.17376253008842468,2.3689568042755127
1721411575941097000,0.118096923828125,-0.9231855869293213,-0.08015421777963638,0.03071238286793232,0.3746470808982849,-0.0034027607180178165,-0.17185167968273163,2.370272636413574
1721411575958231600,0.1352314453125,-0.9234490394592285,-0.07918790727853775,0.03040117584168911,0.37422868609428406,-0.0031664539128541946,-0.16982105374336243,2.3712735176086426
1721411575975383000,0.152383056640625,-0.9235948324203491,-0.07778804004192352,0.0313369520008564,0.3740852475166321,-0.0003178950573783368,-0.167922705411911,2.3718929290771484
1721411575992528000,0.16952783203125,-0.9236624240875244,-0.076410673558712,0.03273016959428787,0.37408265471458435,0.003341608215123415,-0.16640989482402802,2.372253894805908
1721411576009661400,0.186661376953125,-0.9237752556800842,-0.07508877664804459,0.03402567654848099,0.37395626306533813,0.006796596571803093,-0.16492518782615662,2.372857093811035
1721411576026817000,0.203817138671875,-0.9239940643310547,-0.07426740229129791,0.03493259847164154,0.3734959065914154,0.009201589971780777,-0.1640748232603073,2.374073028564453
1721411576043959800,0.220959716796875,-0.9241565465927124,-0.07406006008386612,0.0355924516916275,0.37307244539260864,0.010670144110918045,-0.16417987644672394,2.3751044273376465
1721411576061108500,0.2381083984375,-0.9242035746574402,-0.07421737909317017,0.03610757738351822,0.3728751838207245,0.011550727300345898,-0.1648568958044052,2.3755834102630615
1721411576078243300,0.255243408203125,-0.9242231249809265,-0.07468201965093613,0.0366540253162384,0.37268051505088806,0.012256980873644352,-0.16612929105758667,2.3760263919830322
1721411576095405000,0.272405029296875,-0.9243184328079224,-0.07548517733812332,0.037768952548503876,0.3721708357334137,0.013830514624714851,-0.16845324635505676,2.3771941661834717
1721411576112539600,0.28953955078125,-0.9245685935020447,-0.0761050432920456,0.03953956440091133,0.37123799324035645,0.01685428060591221,-0.17091678082942963,2.379394769668579
1721411576129684700,0.306684814453125,-0.9249307513237,-0.0759018063545227,0.0420188307762146,0.3701033890247345,0.021871792152523994,-0.17236264050006866,2.382225275039673
1721411576146827800,0.323827880859375,-0.9252790808677673,-0.0748838260769844,0.04463907331228256,0.3691321313381195,0.02773776836693287,-0.1723848283290863,2.38480281829834
1721411576163971300,0.340971435546875,-0.9255710244178772,-0.0737709179520607,0.04668477177619934,0.36837032437324524,0.03255502134561539,-0.17179888486862183,2.3868470191955566
1721411576181120800,0.358120849609375,-0.9258493185043335,-0.07287266105413437,0.047710999846458435,0.3677177131175995,0.035274069756269455,-0.17085662484169006,2.388488531112671
1721411576198252500,0.37525244140625,-0.9260431528091431,-0.07230368256568909,0.04780810326337814,0.367328941822052,0.03595123440027237,-0.16985076665878296,2.389397382736206
1721411576215424000,0.392424072265625,-0.9260947704315186,-0.07203476876020432,0.04742538183927536,0.36730143427848816,0.035436391830444336,-0.16906511783599854,2.3894290924072266
1721411576232562400,0.4095625,-0.925960123538971,-0.07214571535587311,0.047209352254867554,0.367646723985672,0.03488438203930855,-0.16912595927715302,2.388639211654663
1721411576249709000,0.426708984375,-0.9257922768592834,-0.07243982702493668,0.047320228070020676,0.3679971992969513,0.03480945900082588,-0.1697702407836914,2.3878660202026367
1721411576266855000,0.44385498046875,-0.92563396692276,-0.0726473480463028,0.0477609783411026,0.36829766631126404,0.03542763739824295,-0.17049501836299896,2.387253522872925
1721411576283999500,0.46099951171875,-0.9254466891288757,-0.07303844392299652,0.048741452395915985,0.36856240034103394,0.036929722875356674,-0.17196115851402283,2.3867764472961426
1721411576301147400,0.4781474609375,-0.9252542853355408,-0.07379590719938278,0.049943629652261734,0.3687335252761841,0.03859306871891022,-0.1742725372314453,2.386502504348755
1721411576318275000,0.495275146484375,-0.9249752759933472,-0.07479843497276306,0.05110333487391472,0.3690722584724426,0.03996153175830841,-0.17701809108257294,2.385838031768799
1721411576335429000,0.51242919921875,-0.9246203899383545,-0.07579023391008377,0.052101895213127136,0.36961930990219116,0.04099278897047043,-0.17963466048240662,2.3846991062164307
1721411576352562000,0.52956201171875,-0.9243585467338562,-0.07676684856414795,0.052944447845220566,0.3699530065059662,0.04178183525800705,-0.18209882080554962,2.3840043544769287
1721411576369722000,0.54672216796875,-0.9241402745246887,-0.077756367623806,0.05390855669975281,0.3701522648334503,0.042815618216991425,-0.18467220664024353,2.383619785308838
1721411576386856200,0.563856201171875,-0.9239823222160339,-0.0787469670176506,0.05507511645555496,0.37016522884368896,0.04426724836230278,-0.18739016354084015,2.3836727142333984
1721411576403998200,0.580998291015625,-0.923980176448822,-0.0796949490904808,0.05642057582736015,0.36976492404937744,0.04617448151111603,-0.1901414543390274,2.3846611976623535
1721411576421144300,0.598144287109375,-0.9241361021995544,-0.08036916702985764,0.05758451670408249,0.36904922127723694,0.048013992607593536,-0.19222883880138397,2.3863394260406494
1721411576438296000,0.615296142578125,-0.9243361353874207,-0.0806071013212204,0.05823647230863571,0.3683936595916748,0.04920405521988869,-0.19312222301959991,2.3878490924835205
1721411576455429600,0.6324296875,-0.9245070219039917,-0.08058153092861176,0.05834127962589264,0.3679535686969757,0.04951370134949684,-0.19312848150730133,2.3888282775878906
1721411576472576300,0.649576171875,-0.9246120452880859,-0.0804171934723854,0.058205582201480865,0.36774688959121704,0.049423448741436005,-0.19270983338356018,2.389272928237915
