time,seconds_elapsed,z,y,x
1721411575876789000,0.0537890625,0.032070424407720566,-0.05742133408784866,-0.05375614017248154
1721411575889659400,0.066659423828125,0.03451388701796532,-0.009010262787342072,-0.08674286305904388
1721411575902510000,0.079510009765625,0.0377209298312664,-0.1033889427781105,-0.11804971098899841
1721411575915380200,0.092380126953125,-0.01542434748262167,-0.2767219543457031,-0.08032877743244171
1721411575928226600,0.1052265625,-0.07162395119667053,-0.2541199326515198,-0.09315694868564606
1721411575941097000,0.118096923828125,-0.07559457421302795,-0.1368338167667389,-0.12400564551353455
1721411575953952500,0.130952392578125,-0.05207626149058342,0.03390302136540413,-0.11682797968387604
1721411575966813700,0.143813720703125,-0.03695734590291977,0.15500704944133759,-0.1134682223200798
1721411575979669500,0.15666943359375,-0.02626720629632473,0.19379699230194092,-0.09636399149894714
1721411575992528000,0.16952783203125,-0.016798794269561768,0.22281309962272644,-0.08307767659425735
1721411576005386000,0.182385986328125,-0.039706241339445114,0.18875735998153687,-0.08796459436416626
1721411576018231600,0.1952314453125,-0.06902777403593063,0.13668109476566315,-0.05650503560900688
1721411576031106600,0.2081064453125,-0.07177666574716568,0.09193521738052368,-0.011453723534941673
1721411576043959800,0.220959716796875,-0.04505131021142006,0.0630718395113945,0.022907447069883347
1721411576056821000,0.233821044921875,-0.02321287989616394,0.04382958263158798,0.04398229718208313
1721411576069678000,0.246677978515625,-0.01970040425658226,0.03191770985722542,0.0659734457731247
1721411576082550800,0.25955078125,-0.04459316283464432,0.05955936014652252,0.11545353382825851
1721411576095405000,0.272405029296875,-0.08674286305904388,0.10399980843067169,0.15256360173225403
1721411576108250600,0.285250732421875,-0.13209961354732513,0.16661348938941956,0.144622340798378
1721411576121102000,0.29810205078125,-0.16142113506793976,0.25106561183929443,0.09789115190505981
1721411576133972000,0.310971923828125,-0.1598939746618271,0.31749722361564636,0.03191770985722542
1721411576146827800,0.323827880859375,-0.13500121235847473,0.3068070709705353,-0.017562376335263252
1721411576159678500,0.336678466796875,-0.11621711403131485,0.251218318939209,-0.03298672288656235
1721411576172537900,0.349537841796875,-0.09972374886274338,0.15821409225463867,-0.050854530185461044
1721411576185408000,0.362407958984375,-0.07238753139972687,0.06520986557006836,-0.05757404863834381
1721411576198252500,0.37525244140625,-0.036651913076639175,-0.0022907445672899485,-0.055741455405950546
1721411576211140000,0.38814013671875,0.00366519158706069,-0.038179077208042145,-0.044287730008363724
1721411576223989800,0.40098974609375,0.04352414980530739,-0.02825251780450344,-0.003817907767370343
1721411576236839200,0.413839111328125,0.05161811411380768,-0.005192354787141085,0.03390302136540413
1721411576249709000,0.426708984375,0.03940080851316452,0.01038470957428217,0.036193765699863434
1721411576262569500,0.439569580078125,0.036651913076639175,0.04917465150356293,0.04459316283464432
1721411576275424000,0.452424072265625,0.03375030308961868,0.09147707372903824,0.07727445662021637
1721411576288272400,0.4652724609375,0.021074850112199783,0.10354165732860565,0.11835514008998871
1721411576301147400,0.4781474609375,0.02321287989616394,0.09636399149894714,0.15012013912200928
1721411576313998300,0.490998291015625,0.05009094998240471,0.0832303911447525,0.16142113506793976
1721411576326873000,0.503873046875,0.07330382615327835,0.07483099400997162,0.15195272862911224
1721411576339714800,0.51671484375,0.061391957104206085,0.057879481464624405,0.1408044397830963
1721411576352562000,0.52956201171875,0.03329215571284294,0.05406157299876213,0.14309518039226532
1721411576365439200,0.542439208984375,0.02825251780450344,0.06734789162874222,0.14905111491680145
1721411576378281200,0.55528125,0.010995574295520782,0.08292495459318161,0.1560760736465454
1721411576391128800,0.56812890625,-0.029474247246980667,0.09957103431224823,0.16539175808429718
1721411576403998200,0.580998291015625,-0.06963863968849182,0.10170906037092209,0.1563815027475357
1721411576416845800,0.593845703125,-0.0936150997877121,0.0858265683054924,0.11972958594560623
1721411576429717500,0.606717529296875,-0.08689557760953903,0.060475658625364304,0.06398813426494598
1721411576442566000,0.61956591796875,-0.07040221989154816,0.016951510682702065,0.016798794269561768
1721411576455429600,0.6324296875,-0.04077525436878204,-0.0010690141934901476,-0.005955935921519995
1721411576468281900,0.64528173828125,-0.023365596309304237,-0.012980886735022068,-0.026419922709465027
1721411576481150500,0.658150390625,-0.038026362657547,-0.01191187184303999,-0.035124752670526505
1721411576494019800,0.671019775390625,-0.04749477282166481,-0.030085112899541855,-0.05467243865132332
1721411576506862600,0.683862548828125,-0.04856378585100174,-0.05910121276974678,-0.059406645596027374
1721411576519723000,0.696722900390625,-0.0377209298312664,-0.06398813426494598,-0.04352414980530739
1721411576532581400,0.709581298828125,-0.00855211354792118,-0.043218716979026794,-0.03344487398862839
1721411576545441800,0.72244189453125,0.010995574295520782,-0.03940080851316452,-0.04306599870324135
1721411576558298600,0.735298583984375,0.023518312722444534,-0.059864792972803116,-0.051312681287527084
1721411576571157200,0.7481572265625,0.03222314268350601,-0.10705413669347763,-0.048716504126787186
1721411576584013300,0.761013427734375,0.027641652151942253,-0.14813482761383057,-0.05100724846124649
1721411576596873200,0.773873291015625,-0.0006108652451075613,-0.1495092660188675,-0.04642575979232788
1721411576609733400,0.7867333984375,-0.04856378585100174,-0.10873401165008545,-0.02275473065674305
1721411576622604000,0.79960400390625,-0.07620543986558914,-0.03390302136540413,0.012064588256180286
1721411576635460000,0.812460205078125,-0.046273041516542435,0.04856378585100174,0.04245513305068016
1721411576648305700,0.8253056640625,0.00733038317412138,0.06582073122262955,0.040622539818286896
1721411576661177600,0.838177490234375,0.04657847434282303,0.027488935738801956,0.03497203439474106
